epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,4117.89,0.64306,0.32686,0.87178,0.98694,0.98179,0.9932,0.86166,0.59264,0.28268,0.86995,0.0083071,0.0083071,0.0083071
173,4141.53,0.65591,0.33043,0.88069,0.98539,0.98524,0.99266,0.85949,0.60381,0.28495,0.874,0.0082972,0.0082972,0.0082972
174,4165.94,0.6514,0.33359,0.87469,0.98541,0.98701,0.99353,0.85489,0.59694,0.28447,0.87648,0.0082873,0.0082873,0.0082873
175,4190.03,0.6355,0.32865,0.87536,0.98535,0.98288,0.99304,0.85873,0.59833,0.28158,0.88475,0.0082774,0.0082774,0.0082774
176,4215.07,0.65956,0.33334,0.87189,0.98856,0.98161,0.99252,0.86404,0.59748,0.28124,0.87075,0.0082675,0.0082675,0.0082675
177,4238.31,0.63738,0.32798,0.86884,0.99081,0.98052,0.99331,0.8635,0.59253,0.27884,0.87733,0.0082576,0.0082576,0.0082576
178,4261.44,0.63957,0.32618,0.87379,0.98893,0.98052,0.99369,0.86274,0.59633,0.28081,0.87959,0.0082477,0.0082477,0.0082477
179,4285.7,0.63083,0.32646,0.86556,0.9902,0.98368,0.99372,0.86239,0.604,0.2862,0.87944,0.0082378,0.0082378,0.0082378
180,4309.86,0.62984,0.32235,0.87105,0.9838,0.98587,0.99316,0.85299,0.60009,0.2877,0.88118,0.0082279,0.0082279,0.0082279
181,4334.21,0.64448,0.3325,0.87361,0.98842,0.9789,0.99357,0.85959,0.59356,0.28282,0.8765,0.008218,0.008218,0.008218
